input_origin,input_extrapolation,output,len,bins
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 16 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,16,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 14,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,14,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 12 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,12,9~17
Repeat 5 times hello world,Repeat 16 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,16,9~17
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 10 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,10,9~17
"Say hello world five times, but don't say world every even time","Say hello world 14 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello,14,9~17
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 10 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,10,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 15 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,15,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 9 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,9,9~17
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 9 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,9,9~17
"Repeat cat five times. After each time, also say mouse","Repeat cat 16 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,16,9~17
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 12,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,12,9~17
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 11 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,11,9~17
"Say hello world five times, but don't say world every even time","Say hello world 15 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,15,9~17
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 11 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,11,9~17
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 11 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,11,9~17
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 12 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,12,9~17
